2019-06-12 16:58:38 status unpacked libdebconfclient0:arm64 0.213ubuntu1
2019-06-12 16:58:38 install libext2fs2:arm64 <none> 1.44.1-1
2019-06-12 16:58:38 status half-installed libext2fs2:arm64 1.44.1-1
2019-06-12 16:58:38 status unpacked libext2fs2:arm64 1.44.1-1
2019-06-12 16:58:38 status unpacked libext2fs2:arm64 1.44.1-1
2019-06-12 16:58:38 install libfdisk1:arm64 <none> 2.31.1-0.4ubuntu3
2019-06-12 16:58:38 status half-installed libfdisk1:arm64 2.31.1-0.4ubuntu3
2019-06-12 16:58:38 status unpacked libfdisk1:arm64 2.31.1-0.4ubuntu3
2019-06-12 16:58:38 status unpacked libfdisk1:arm64 2.31.1-0.4ubuntu3
2019-06-12 16:58:38 install libgcc1:arm64 <none> 1:8-20180414-1ubuntu2
2019-06-12 16:58:38 status half-installed libgcc1:arm64 1:8-20180414-1ubuntu2
2019-06-12 16:58:38 status unpacked libgcc1:arm64 1:8-20180414-1ubuntu2
2019-06-12 16:58:38 status unpacked libgcc1:arm64 1:8-20180414-1ubuntu2
2019-06-12 16:58:38 install libgcrypt20:arm64 <none> 1.8.1-4ubuntu1
2019-06-12 16:58:38 status half-installed libgcrypt20:arm64 1.8.1-4ubuntu1
2019-06-12 16:58:38 status unpacked libgcrypt20:arm64 1.8.1-4ubuntu1
2019-06-12 16:58:38 status unpacked libgcrypt20:arm64 1.8.1-4ubuntu1
2019-06-12 16:58:38 install libgpg-error0:arm64 <none> 1.27-6
2019-06-12 16:58:38 status half-installed libgpg-error0:arm64 1.27-6
2019-06-12 16:58:38 status unpacked libgpg-error0:arm64 1.27-6
2019-06-12 16:58:38 status unpacked libgpg-error0:arm64 1.27-6
2019-06-12 16:58:38 install liblz4-1:arm64 <none> 0.0~r131-2ubuntu3
2019-06-12 16:58:38 status half-installed liblz4-1:arm64 0.0~r131-2ubuntu3
2019-06-12 16:58:38 status unpacked liblz4-1:arm64 0.0~r131-2ubuntu3
2019-06-12 16:58:38 status unpacked liblz4-1:arm64 0.0~r131-2ubuntu3
2019-06-12 16:58:38 install liblzma5:arm64 <none> 5.2.2-1.3
2019-06-12 16:58:38 status half-installed liblzma5:arm64 5.2.2-1.3
2019-06-12 16:58:38 status unpacked liblzma5:arm64 5.2.2-1.3
2019-06-12 16:58:38 status unpacked liblzma5:arm64 5.2.2-1.3
2019-06-12 16:58:38 install libmount1:arm64 <none> 2.31.1-0.4ubuntu3
2019-06-12 16:58:38 status half-installed libmount1:arm64 2.31.1-0.4ubuntu3
2019-06-12 16:58:38 status unpacked libmount1:arm64 2.31.1-0.4ubuntu3
2019-06-12 16:58:38 status unpacked libmount1:arm64 2.31.1-0.4ubuntu3
2019-06-12 16:58:38 install libncurses5:arm64 <none> 6.1-1ubuntu1
2019-06-12 16:58:38 status half-installed libncurses5:arm64 6.1-1ubuntu1
2019-06-12 16:58:38 status unpacked libncurses5:arm64 6.1-1ubuntu1
2019-06-12 16:58:38 status unpacked libncurses5:arm64 6.1-1ubuntu1
2019-06-12 16:58:38 install libncursesw5:arm64 <none> 6.1-1ubuntu1
2019-06-12 16:58:38 status half-installed libncursesw5:arm64 6.1-1ubuntu1
2019-06-12 16:58:38 status unpacked libncursesw5:arm64 6.1-1ubuntu1
2019-06-12 16:58:38 status unpacked libncursesw5:arm64 6.1-1ubuntu1
2019-06-12 16:58:38 install libpam-modules:arm64 <none> 1.1.8-3.6ubuntu2
2019-06-12 16:58:38 status half-installed libpam-modules:arm64 1.1.8-3.6ubuntu2
2019-06-12 16:58:39 status unpacked libpam-modules:arm64 1.1.8-3.6ubuntu2
2019-06-12 16:58:39 status unpacked libpam-modules:arm64 1.1.8-3.6ubuntu2
2019-06-12 16:58:39 install libpam-modules-bin:arm64 <none> 1.1.8-3.6ubuntu2
2019-06-12 16:58:39 status half-installed libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2019-06-12 16:58:39 status unpacked libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2019-06-12 16:58:39 status unpacked libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2019-06-12 16:58:39 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
2019-06-12 16:58:39 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2019-06-12 16:58:39 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2019-06-12 16:58:39 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2019-06-12 16:58:39 install libpam0g:arm64 <none> 1.1.8-3.6ubuntu2
2019-06-12 16:58:39 status half-installed libpam0g:arm64 1.1.8-3.6ubuntu2
2019-06-12 16:58:39 status unpacked libpam0g:arm64 1.1.8-3.6ubuntu2
2019-06-12 16:58:39 status unpacked libpam0g:arm64 1.1.8-3.6ubuntu2
2019-06-12 16:58:39 install libpcre3:arm64 <none> 2:8.39-9
2019-06-12 16:58:39 status half-installed libpcre3:arm64 2:8.39-9
2019-06-12 16:58:39 status unpacked libpcre3:arm64 2:8.39-9
2019-06-12 16:58:39 status unpacked libpcre3:arm64 2:8.39-9
2019-06-12 16:58:39 install libprocps6:arm64 <none> 2:3.3.12-3ubuntu1
2019-06-12 16:58:39 status half-installed libprocps6:arm64 2:3.3.12-3ubuntu1
2019-06-12 16:58:39 status unpacked libprocps6:arm64 2:3.3.12-3ubuntu1
2019-06-12 16:58:39 status unpacked libprocps6:arm64 2:3.3.12-3ubuntu1
2019-06-12 16:58:39 install libselinux1:arm64 <none> 2.7-2build2
2019-06-12 16:58:39 status half-installed libselinux1:arm64 2.7-2build2
2019-06-12 16:58:39 status unpacked libselinux1:arm64 2.7-2build2
2019-06-12 16:58:39 status unpacked libselinux1:arm64 2.7-2build2
2019-06-12 16:58:39 install libsemanage-common:all <none> 2.7-2build2
2019-06-12 16:58:39 status half-installed libsemanage-common:all 2.7-2build2
2019-06-12 16:58:39 status unpacked libsemanage-common:all 2.7-2build2
2019-06-12 16:58:39 status unpacked libsemanage-common:all 2.7-2build2
2019-06-12 16:58:39 install libsemanage1:arm64 <none> 2.7-2build2
2019-06-12 16:58:39 status half-installed libsemanage1:arm64 2.7-2build2
2019-06-12 16:58:39 status unpacked libsemanage1:arm64 2.7-2build2
2019-06-12 16:58:39 status unpacked libsemanage1:arm64 2.7-2build2
2019-06-12 16:58:39 install libsepol1:arm64 <none> 2.7-1
2019-06-12 16:58:39 status half-installed libsepol1:arm64 2.7-1
2019-06-12 16:58:39 status unpacked libsepol1:arm64 2.7-1
2019-06-12 16:58:39 status unpacked libsepol1:arm64 2.7-1
2019-06-12 16:58:39 install libsmartcols1:arm64 <none> 2.31.1-0.4ubuntu3
2019-06-12 16:58:39 status half-installed libsmartcols1:arm64 2.31.1-0.4ubuntu3
2019-06-12 16:58:39 status unpacked libsmartcols1:arm64 2.31.1-0.4ubuntu3
2019-06-12 16:58:39 status unpacked libsmartcols1:arm64 2.31.1-0.4ubuntu3
2019-06-12 16:58:39 install libss2:arm64 <none> 1.44.1-1
2019-06-12 16:58:39 status half-installed libss2:arm64 1.44.1-1
2019-06-12 16:58:39 status unpacked libss2:arm64 1.44.1-1
2019-06-12 16:58:39 status unpacked libss2:arm64 1.44.1-1
2019-06-12 16:58:39 install libsystemd0:arm64 <none> 237-3ubuntu10
2019-06-12 16:58:39 status half-installed libsystemd0:arm64 237-3ubuntu10
2019-06-12 16:58:39 status unpacked libsystemd0:arm64 237-3ubuntu10
2019-06-12 16:58:39 status unpacked libsystemd0:arm64 237-3ubuntu10
2019-06-12 16:58:39 install libtinfo5:arm64 <none> 6.1-1ubuntu1
2019-06-12 16:58:39 status half-installed libtinfo5:arm64 6.1-1ubuntu1
2019-06-12 16:58:39 status unpacked libtinfo5:arm64 6.1-1ubuntu1
2019-06-12 16:58:39 status unpacked libtinfo5:arm64 6.1-1ubuntu1
2019-06-12 16:58:39 install libudev1:arm64 <none> 237-3ubuntu10
2019-06-12 16:58:39 status half-installed libudev1:arm64 237-3ubuntu10
2019-06-12 16:58:39 status unpacked libudev1:arm64 237-3ubuntu10
2019-06-12 16:58:39 status unpacked libudev1:arm64 237-3ubuntu10
2019-06-12 16:58:39 install libuuid1:arm64 <none> 2.31.1-0.4ubuntu3
2019-06-12 16:58:39 status half-installed libuuid1:arm64 2.31.1-0.4ubuntu3
2019-06-12 16:58:39 status unpacked libuuid1:arm64 2.31.1-0.4ubuntu3
2019-06-12 16:58:39 status unpacked libuuid1:arm64 2.31.1-0.4ubuntu3
2019-06-12 16:58:39 install libzstd1:arm64 <none> 1.3.3+dfsg-2ubuntu1
2019-06-12 16:58:39 status half-installed libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2019-06-12 16:58:39 status unpacked libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2019-06-12 16:58:39 status unpacked libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2019-06-12 16:58:39 install login:arm64 <none> 1:4.5-1ubuntu1
2019-06-12 16:58:39 status half-installed login:arm64 1:4.5-1ubuntu1
2019-06-12 16:58:39 status unpacked login:arm64 1:4.5-1ubuntu1
2019-06-12 16:58:39 status unpacked login:arm64 1:4.5-1ubuntu1
2019-06-12 16:58:40 install lsb-base:all <none> 9.20170808ubuntu1
2019-06-12 16:58:40 status half-installed lsb-base:all 9.20170808ubuntu1
2019-06-12 16:58:40 status unpacked lsb-base:all 9.20170808ubuntu1
