
---------- Begin Simulation Statistics ----------
simSeconds                                   1.503028                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total      399202318                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         0.106239                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                           113979658                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.285519                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads               4678306240                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites               586495688                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses       387955677                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                         0                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                        0                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses                0                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                      357                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                     131                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses             128                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                   513181374                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                            0                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                         227                       # Number of vector alu accesses (Count)
system.cpu.numInsts                         388686715                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                     173208306                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                   6072203                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                6445                       # Number of nop insts executed (Count)
system.cpu.numRefs                          173550661                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                       80146689                       # Number of branches executed (Count)
system.cpu.numStoreInsts                       342355                       # Number of stores executed (Count)
system.cpu.numRate                           0.103441                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                            1807                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          111771                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                   369413141                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                     369836946                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                              10.171729                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                         10.171729                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.098312                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.098312                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                  506526122                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                 228901390                       # Number of integer regfile writes (Count)
system.cpu.vecRegfileReads                        128                       # number of vector regfile reads (Count)
system.cpu.ccRegfileReads                   234812046                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                  236352204                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                3920666335                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                    23946                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads      202578537                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores        358757                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads        50840                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores        41136                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups               136765048                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted         136490882                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect           3840683                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups             47284562                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates               704336                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits                47250422                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.999278                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                  112533                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                401                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups            8340                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits               6996                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses             1344                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          289                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts       105737880                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls           22762                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts           3829923                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples   3741972627                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     0.098836                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     0.545580                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0      3564005128     95.24%     95.24% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1        83835138      2.24%     97.48% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2        47353649      1.27%     98.75% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3        25928617      0.69%     99.44% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4          537804      0.01%     99.46% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5        17024165      0.45%     99.91% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6           25955      0.00%     99.91% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7           10045      0.00%     99.91% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8         3252126      0.09%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total   3741972627                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted            369419576                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted              369843381                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                   155721443                       # Number of memory references committed (Count)
system.cpu.commit.loads                     155394265                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                       15118                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                   79697879                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions              128                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                          0                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                   341586869                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                 83109                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass            0      0.00%      0.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu    214106486     57.89%     57.89% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult        13196      0.00%     57.89% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv         2256      0.00%     57.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd            0      0.00%     57.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     57.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt            0      0.00%     57.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     57.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     57.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     57.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     57.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     57.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd            0      0.00%     57.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     57.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu            0      0.00%     57.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp            0      0.00%     57.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt            0      0.00%     57.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc            0      0.00%     57.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     57.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     57.90% # Class of committed instruction (Count)
